Downregulated,Upregulated
ENSMUSG00000094932,ENSMUSG00000027361
ENSMUSG00000072769,ENSMUSG00000016946
ENSMUSG00000043448,ENSMUSG00000015709
ENSMUSG00000042662,ENSMUSG00000024965
ENSMUSG00000087142,ENSMUSG00000060181
ENSMUSG00000074919,ENSMUSG00000025982
ENSMUSG00000051517,ENSMUSG00000025337
ENSMUSG00000121367,ENSMUSG00000028300
ENSMUSG00000052572,ENSMUSG00000085401
ENSMUSG00000115867,ENSMUSG00000036840
ENSMUSG00000112693,ENSMUSG00000015243
ENSMUSG00000093606,ENSMUSG00000026786
ENSMUSG00000115200,ENSMUSG00000022124
ENSMUSG00000021579,ENSMUSG00000001847
ENSMUSG00000000901,ENSMUSG00000007867
ENSMUSG00000099338,ENSMUSG00000025278
ENSMUSG00000049511,ENSMUSG00000001247
ENSMUSG00000042428,ENSMUSG00000034610
ENSMUSG00000056411,ENSMUSG00000020255
ENSMUSG00000107000,ENSMUSG00000031565
ENSMUSG00000121376,ENSMUSG00000021703
ENSMUSG00000020135,ENSMUSG00000022867
ENSMUSG00000090925,ENSMUSG00000027009
ENSMUSG00000078794,ENSMUSG00000052632
ENSMUSG00000009216,ENSMUSG00000068742
ENSMUSG00000108659,ENSMUSG00000030641
ENSMUSG00000074461,ENSMUSG00000042228
ENSMUSG00000091405,ENSMUSG00000044339
ENSMUSG00000030098,ENSMUSG00000028833
ENSMUSG00000085069,ENSMUSG00000046207
ENSMUSG00000079671,ENSMUSG00000031384
ENSMUSG00000017309,ENSMUSG00000105081
ENSMUSG00000075534,ENSMUSG00000050394
ENSMUSG00000070392,ENSMUSG00000056952
ENSMUSG00000034161,ENSMUSG00000025647
ENSMUSG00000120254,ENSMUSG00000069114
ENSMUSG00000086061,ENSMUSG00000037112
ENSMUSG00000036602,ENSMUSG00000021282
ENSMUSG00000082152,ENSMUSG00000101567
ENSMUSG00000099170,ENSMUSG00000038058
ENSMUSG00000035189,ENSMUSG00000062591
ENSMUSG00000085582,ENSMUSG00000004455
ENSMUSG00000036169,ENSMUSG00000022971
ENSMUSG00000020017,ENSMUSG00000027177
ENSMUSG00000101514,ENSMUSG00000041889
ENSMUSG00000048251,ENSMUSG00000021939
ENSMUSG00000036186,ENSMUSG00000022204
ENSMUSG00000105550,ENSMUSG00000002227
ENSMUSG00000081957,ENSMUSG00000036006
ENSMUSG00000066058,ENSMUSG00000026608
ENSMUSG00000090919,ENSMUSG00000066595
ENSMUSG00000070802,ENSMUSG00000029426
ENSMUSG00000087042,ENSMUSG00000040717
ENSMUSG00000120842,ENSMUSG00000001305
ENSMUSG00000075267,ENSMUSG00000027469
ENSMUSG00000102861,ENSMUSG00000111594
ENSMUSG00000052981,ENSMUSG00000034708
ENSMUSG00000049907,ENSMUSG00000047040
ENSMUSG00000086350,ENSMUSG00000034616
ENSMUSG00000085017,ENSMUSG00000021359
ENSMUSG00000028527,ENSMUSG00000032939
ENSMUSG00000042514,ENSMUSG00000058503
ENSMUSG00000019880,ENSMUSG00000062328
ENSMUSG00000106164,ENSMUSG00000081984
ENSMUSG00000117901,ENSMUSG00000041571
ENSMUSG00000100005,ENSMUSG00000096403
ENSMUSG00000031870,ENSMUSG00000030157
ENSMUSG00000059857,ENSMUSG00000037262
ENSMUSG00000035403,ENSMUSG00000078201
ENSMUSG00000062210,ENSMUSG00000081070
ENSMUSG00000024663,ENSMUSG00000037656
ENSMUSG00000085087,ENSMUSG00000070960
ENSMUSG00000024027,ENSMUSG00000029833
ENSMUSG00000029570,ENSMUSG00000030880
ENSMUSG00000049871,ENSMUSG00000026889
ENSMUSG00000120930,ENSMUSG00000047153
ENSMUSG00000106365,ENSMUSG00000016477
ENSMUSG00000097616,ENSMUSG00000035873
ENSMUSG00000040009,ENSMUSG00000052942
ENSMUSG00000081058,ENSMUSG00000037239
ENSMUSG00000085105,ENSMUSG00000089824
ENSMUSG00000120539,ENSMUSG00000030579
ENSMUSG00000118376,ENSMUSG00000103137
ENSMUSG00000056185,ENSMUSG00000029276
ENSMUSG00000046491,ENSMUSG00000001120
ENSMUSG00000061718,ENSMUSG00000018819
ENSMUSG00000028417,ENSMUSG00000106918
ENSMUSG00000028996,ENSMUSG00000063785
ENSMUSG00000096917,ENSMUSG00000024498
ENSMUSG00000104965,ENSMUSG00000029828
ENSMUSG00000025316,ENSMUSG00000006958
ENSMUSG00000100235,ENSMUSG00000026393
ENSMUSG00000087013,ENSMUSG00000036752
ENSMUSG00000033634,ENSMUSG00000019927
ENSMUSG00000114441,ENSMUSG00000020914
ENSMUSG00000120286,ENSMUSG00000116811
ENSMUSG00000038453,ENSMUSG00000020262
ENSMUSG00000097292,ENSMUSG00000049521
ENSMUSG00000068962,ENSMUSG00000030750
ENSMUSG00000085826,ENSMUSG00000044548
ENSMUSG00000091813,ENSMUSG00000023004
ENSMUSG00000121866,ENSMUSG00000059288
ENSMUSG00000098488,ENSMUSG00000038900
ENSMUSG00000115970,ENSMUSG00000042354
ENSMUSG00000020335,ENSMUSG00000031758
ENSMUSG00000102632,ENSMUSG00000045968
