Downregulated,Upregulated
ENSMUSG00000086010,ENSMUSG00000082319
ENSMUSG00000045094,ENSMUSG00000055239
ENSMUSG00000021573,ENSMUSG00000026766
ENSMUSG00000070392,ENSMUSG00000046572
ENSMUSG00000090877,ENSMUSG00000068396
ENSMUSG00000113019,ENSMUSG00000029467
ENSMUSG00000106825,ENSMUSG00000027455
ENSMUSG00000068522,ENSMUSG00000021385
ENSMUSG00000055235,ENSMUSG00000033808
ENSMUSG00000031147,ENSMUSG00000056201
ENSMUSG00000037709,ENSMUSG00000000826
ENSMUSG00000045776,ENSMUSG00000019863
ENSMUSG00000044788,ENSMUSG00000037563
ENSMUSG00000025504,ENSMUSG00000115312
ENSMUSG00000121816,ENSMUSG00000027422
ENSMUSG00000071551,ENSMUSG00000023307
ENSMUSG00000028976,ENSMUSG00000060679
ENSMUSG00000120534,ENSMUSG00000008348
ENSMUSG00000118516,ENSMUSG00000038181
ENSMUSG00000018604,ENSMUSG00000025466
ENSMUSG00000034783,ENSMUSG00000025240
ENSMUSG00000046080,ENSMUSG00000067288
ENSMUSG00000019935,ENSMUSG00000031921
ENSMUSG00000050627,ENSMUSG00000051234
ENSMUSG00000064225,ENSMUSG00000025178
ENSMUSG00000044033,ENSMUSG00000022685
ENSMUSG00000038068,ENSMUSG00000034892
ENSMUSG00000038751,ENSMUSG00000074151
ENSMUSG00000062585,ENSMUSG00000039770
ENSMUSG00000114370,ENSMUSG00000102976
ENSMUSG00000051452,ENSMUSG00000021905
ENSMUSG00000120473,ENSMUSG00000018347
ENSMUSG00000109482,ENSMUSG00000029186
ENSMUSG00000110781,ENSMUSG00000121066
ENSMUSG00000089712,ENSMUSG00000070713
ENSMUSG00000067219,ENSMUSG00000100755
ENSMUSG00000001270,ENSMUSG00000039361
ENSMUSG00000022003,ENSMUSG00000003269
ENSMUSG00000033594,ENSMUSG00000042447
ENSMUSG00000034685,ENSMUSG00000022111
ENSMUSG00000026858,ENSMUSG00000033732
ENSMUSG00000118669,ENSMUSG00000013701
ENSMUSG00000031775,ENSMUSG00000006335
ENSMUSG00000062563,ENSMUSG00000010608
ENSMUSG00000034177,ENSMUSG00000049517
ENSMUSG00000097383,ENSMUSG00000063800
ENSMUSG00000033763,ENSMUSG00000036371
ENSMUSG00000022025,ENSMUSG00000021814
ENSMUSG00000003949,ENSMUSG00000057191
ENSMUSG00000045087,ENSMUSG00000001376
ENSMUSG00000045316,ENSMUSG00000029146
ENSMUSG00000026185,ENSMUSG00000079614
ENSMUSG00000108825,ENSMUSG00000023259
ENSMUSG00000029510,ENSMUSG00000017299
ENSMUSG00000059810,ENSMUSG00000028683
ENSMUSG00000084983,ENSMUSG00000068856
ENSMUSG00000045954,ENSMUSG00000082321
ENSMUSG00000067825,ENSMUSG00000053477
ENSMUSG00000093662,ENSMUSG00000012114
ENSMUSG00000004748,ENSMUSG00000026088
