Downregulated,Upregulated,
ENSMUSG00000024027,ENSMUSG00000019947,
ENSMUSG00000078137,ENSMUSG00000020430,
ENSMUSG00000102697,ENSMUSG00000022200,
ENSMUSG00000041644,ENSMUSG00000024597,
ENSMUSG00000051262,ENSMUSG00000026596,
ENSMUSG00000086843,ENSMUSG00000027597,
ENSMUSG00000035407,ENSMUSG00000028068,
ENSMUSG00000046916,ENSMUSG00000028771,
ENSMUSG00000040229,ENSMUSG00000028850,
ENSMUSG00000116660,ENSMUSG00000030653,
ENSMUSG00000027500,ENSMUSG00000032042,
ENSMUSG00000089694,ENSMUSG00000038342,
ENSMUSG00000086283,ENSMUSG00000039531,
ENSMUSG00000074217,ENSMUSG00000040414,
ENSMUSG00000078794,ENSMUSG00000042079,
ENSMUSG00000020623,ENSMUSG00000042548,
ENSMUSG00000044338,ENSMUSG00000046034,
ENSMUSG00000044461,ENSMUSG00000057058,
ENSMUSG00000115536,ENSMUSG00000062588,
ENSMUSG00000039883,ENSMUSG00000070420,
ENSMUSG00000020811,ENSMUSG00000083902,
ENSMUSG00000046093,ENSMUSG00000100018,
ENSMUSG00000062309,ENSMUSG00000015305,
ENSMUSG00000108255,ENSMUSG00000017428,
ENSMUSG00000009900,ENSMUSG00000018076,
ENSMUSG00000057123,ENSMUSG00000018347,
ENSMUSG00000119981,ENSMUSG00000020464,
ENSMUSG00000074207,ENSMUSG00000024379,
ENSMUSG00000063594,ENSMUSG00000024513,
ENSMUSG00000028996,ENSMUSG00000024683,
ENSMUSG00000021294,ENSMUSG00000025825,
ENSMUSG00000020052,ENSMUSG00000026070,
ENSMUSG00000109674,ENSMUSG00000026094,
ENSMUSG00000029299,ENSMUSG00000026307,
ENSMUSG00000050097,ENSMUSG00000028126,
ENSMUSG00000024440,ENSMUSG00000029528,
ENSMUSG00000020682,ENSMUSG00000030662,
ENSMUSG00000039058,ENSMUSG00000031770,
ENSMUSG00000052336,ENSMUSG00000031843,
ENSMUSG00000050288,ENSMUSG00000032575,
ENSMUSG00000044229,ENSMUSG00000032939,
ENSMUSG00000114161,ENSMUSG00000036902,
ENSMUSG00000120082,ENSMUSG00000040749,
ENSMUSG00000031775,ENSMUSG00000042734,
ENSMUSG00000034911,ENSMUSG00000046718,
ENSMUSG00000067771,ENSMUSG00000047215,
ENSMUSG00000078117,ENSMUSG00000049744,
ENSMUSG00000054057,ENSMUSG00000051166,
ENSMUSG00000094932,ENSMUSG00000059901,
ENSMUSG00000057719,ENSMUSG00000074813,
ENSMUSG00000105376,ENSMUSG00000078941,
ENSMUSG00000120883,ENSMUSG00000086922,
ENSMUSG00000120007,ENSMUSG00000103921,
ENSMUSG00000043110,ENSMUSG00000110617,
ENSMUSG00000068522,ENSMUSG00000113255,
ENSMUSG00000054196,ENSMUSG00000113752,
ENSMUSG00000033082,ENSMUSG00000000303,
ENSMUSG00000109097,ENSMUSG00000000568,
ENSMUSG00000030495,ENSMUSG00000016256,
ENSMUSG00000079534,ENSMUSG00000017999,
ENSMUSG00000000359,ENSMUSG00000021728,
ENSMUSG00000057967,ENSMUSG00000021877,
ENSMUSG00000097915,ENSMUSG00000022498,
ENSMUSG00000028940,ENSMUSG00000022575,
ENSMUSG00000026109,ENSMUSG00000023987,
ENSMUSG00000043496,ENSMUSG00000024424,
ENSMUSG00000021319,ENSMUSG00000024480,
ENSMUSG00000051279,ENSMUSG00000024587,
ENSMUSG00000021567,ENSMUSG00000025287,
ENSMUSG00000027796,ENSMUSG00000026245,
ENSMUSG00000021708,ENSMUSG00000026766,
ENSMUSG00000025105,ENSMUSG00000027405,
ENSMUSG00000034685,ENSMUSG00000027566,
ENSMUSG00000047986,ENSMUSG00000028530,
ENSMUSG00000021573,ENSMUSG00000028896,
ENSMUSG00000046470,ENSMUSG00000029512,
ENSMUSG00000048728,ENSMUSG00000030269,
ENSMUSG00000059588,ENSMUSG00000031781,
ENSMUSG00000027489,ENSMUSG00000031805,
ENSMUSG00000052563,ENSMUSG00000033323,
ENSMUSG00000054978,ENSMUSG00000034154,
ENSMUSG00000006386,ENSMUSG00000035268,
ENSMUSG00000040283,ENSMUSG00000036057,
ENSMUSG00000040724,ENSMUSG00000039105,
ENSMUSG00000113346,ENSMUSG00000042225,
ENSMUSG00000032537,ENSMUSG00000042510,
ENSMUSG00000047146,ENSMUSG00000053038,
ENSMUSG00000104168,ENSMUSG00000062609,
ENSMUSG00000102269,ENSMUSG00000062794,
ENSMUSG00000066178,ENSMUSG00000073758,
ENSMUSG00000010797,ENSMUSG00000078671,
ENSMUSG00000045555,ENSMUSG00000080968,
ENSMUSG00000027217,ENSMUSG00000083087,
ENSMUSG00000104507,ENSMUSG00000083364,
ENSMUSG00000027656,ENSMUSG00000093904,
ENSMUSG00000058420,ENSMUSG00000000001,
ENSMUSG00000026175,ENSMUSG00000000275,
ENSMUSG00000043448,ENSMUSG00000001918,
ENSMUSG00000079671,ENSMUSG00000005779,
ENSMUSG00000105403,ENSMUSG00000008393,
ENSMUSG00000093507,ENSMUSG00000020130,
ENSMUSG00000044309,ENSMUSG00000021187,
