#1.2																
20399	15															
NAME	DESCRIPTION	S1	S5	S40	S41	S6	S7	S34	S36	S38	S2	S3	S39	S33	S35	S37
ENSMUSG00000000275	na	6123.73	7416.13	5651.98	5506.13	6409.9	4832.62	5032.25	8268.38	6612.02	3439.72	4458.66	4306.5	3373.55	4660.95	4114.66
ENSMUSG00000000276	na	1051.3	828.986	888.523	1154.07	1129.5	672.744	701.124	923.507	781.356	984.278	1299.3	1085.37	1022.28	1282.36	1061.68
ENSMUSG00000000278	na	1322.49	1516.88	1595.05	1751.16	1500.23	1083.58	1160.86	1366.67	1131.1	1314.31	1547.86	1512.47	1732.27	1606.76	1584.39
ENSMUSG00000000282	na	1564.39	1658.89	1716.38	2029.98	1911.89	1291.18	1695.71	1573.08	1501.15	1617.02	1806.11	2018.66	1739.78	2025.94	1906
ENSMUSG00000000290	na	1562.72	11403.6	10591.8	2573.39	4668.51	3651	1444.31	4544.84	5414.84	1657.39	1883.6	2007.19	1348.25	2672.86	1853.88
ENSMUSG00000000295	na	433.575	194.567	201.969	127.439	92.8788	194.466	362.58	213.234	177.726	205.057	135.579	177.063	189.969	106.863	145.574
ENSMUSG00000000296	na	90.3978	50.7164	42.8202	38.8141	32.2714	31.535	106.17	67.5369	52.6829	37.1054	37.9299	34.4666	56.0339	30.5323	49.4274
ENSMUSG00000000301	na	57.7542	40.5731	39.9656	51.7521	22.039	54.3103	55.0881	31.8713	47.6051	50.1249	38.7369	36.494	67.6507	36.2571	41.9794
ENSMUSG00000000303	na	23750.3	16954.9	18092.9	10051.6	8996.6	22247.1	30212.2	17937.4	17767	15016	11424.1	13202.7	12472.3	10656.4	10272.8
ENSMUSG00000000305	na	153.174	70.0809	94.9182	102.21	82.6464	49.0544	103.165	138.868	92.6712	207.66	219.509	208.151	138.035	197.188	178.751
ENSMUSG00000000308	na	736.575	402.966	355.408	479.998	277.849	955.683	1183.9	561.543	491.283	637.301	493.894	568.361	708.625	414.095	615.472
ENSMUSG00000000317	na	764.197	2246.28	1938.33	1104.91	1736.36	2699.75	1407.25	2364.55	4986.48	871.653	798.141	1053.6	722.291	872.079	678.442
ENSMUSG00000000318	na	109.835	100.511	74.2802	164.679	98.3886	69.0668	233.97	113.246	104.414	130.362	130.31	129.933	173.293	229.826	155.545
ENSMUSG00000000320	na	369.962	452.76	488.865	222.534	192.842	269.799	992.591	659.431	309.751	186.829	225.965	266.271	341.671	183.83	341.252
ENSMUSG00000000326	na	1384.43	1519.66	1370.96	1862.44	1739.49	1524.19	1538.46	1590.53	1407.84	2533.6	2203.16	2176.81	2375.25	1943.88	2150.41
ENSMUSG00000000339	na	955.039	787.491	878.528	626.849	583.247	812.901	896.434	795.266	797.861	645.112	612.528	659.596	649.173	561.666	536.931
ENSMUSG00000000340	na	2182.1	1294.65	1305.3	1538.98	1304.24	1550.47	2085.34	1969.95	1369.76	1544.76	1319.47	1211.74	1473.28	1358.69	1365.69
ENSMUSG00000000346	na	15515.5	14291.2	15178	11274.5	9560.49	12398.3	15228.3	16923.9	14569.1	11908.5	10260.9	11220.5	10458	9926.37	10339.6
ENSMUSG00000000355	na	765.033	624.272	691.549	757.52	568.291	778.739	752.204	613.143	641.717	991.433	731.966	695.415	835.726	596.65	769.849
ENSMUSG00000000359	na	14.2293	13.8317	17.8418	121.617	92.8788	25.4032	25.0401	7.58841	43.1619	285.127	196.912	137.866	192.702	237.898	202.449
ENSMUSG00000000374	na	1927.65	2629.87	2286.6	1781.57	2369.19	2257.38	2078.33	2369.86	2112.4	1514.82	2099.06	1724	1638.65	2426.06	1803.76
ENSMUSG00000000378	na	786.791	1027.24	1025.55	949.006	944.523	961.814	692.107	832.449	1172.37	1113.16	851.403	1156.99	915.682	955.405	910.685
ENSMUSG00000000384	na	781.774	1377.63	1196.11	602.911	665.108	1209.72	1007.61	904.535	898.78	462.842	543.124	541.327	560.338	537.495	547.766
ENSMUSG00000000385	na	2538.67	1501.2	1181.13	3006.15	2140.94	1903.48	2837.54	2353.17	1593.19	4116.75	3271.64	3391.91	4171.09	3187.45	3126.79
ENSMUSG00000000386	na	346.333	1052.39	368.253	120.53	489.962	747.203	504.399	1059.66	1126.42	104.807	160.597	127.357	144.868	134.215	228.856
ENSMUSG00000000392	na	135.597	222.23	126.32	102.21	149.551	202.35	276.442	259.524	211.367	96.9949	86.351	82.4494	95.6676	55.9759	106.98
ENSMUSG00000000399	na	1621.3	1718.8	1495.17	1200.67	1251.51	1754.56	1477.36	1444.82	1621.73	1301.28	1515.61	1458.4	1707.67	1374.57	1237.73
