#1.2										
19067	9									
Name	Description	S47	S48	S79	S77	S75	S46	S42	S81	S82
ENSMUSG00000000402	na	624.611	806.557	343.339	1132.51	337.349	514.695	704.152	143.45	226.418
ENSMUSG00000000409	na	45.5983	64.3023	70.274	45.5719	38.6122	30.4831	47.0049	38.7228	76.0359
ENSMUSG00000000416	na	790.661	587.453	403.574	500.321	402.381	200.485	217.513	232.337	299.92
ENSMUSG00000000420	na	3533.36	4351.19	3722.58	5179.61	4178.13	11083.8	9472.29	7983.39	7918.82
ENSMUSG00000000439	na	931.754	773.215	821.202	851.322	862.678	759.732	894.938	750.695	971.57
ENSMUSG00000000440	na	36.1345	39.6928	414.617	72.7211	218.464	69.1732	177.881	225.296	392.007
ENSMUSG00000000441	na	3265.91	4058.22	3672.3	3725.28	4024.81	5437.73	4286.58	4695.1	3298.29
ENSMUSG00000000486	na	184.974	88.118	90.3523	79.5084	70.1117	57.4489	119.816	51.0437	87.0189
ENSMUSG00000000489	na	1176.95	1815.54	1861.26	1944.08	1041.51	1254.5	576.962	798.219	1284.16
ENSMUSG00000000530	na	1071.13	643.815	590.301	428.569	311.947	338.831	432.262	280.74	508.596
ENSMUSG00000000531	na	731.294	354.06	409.597	334.517	283.495	296.624	421.201	209.455	497.613
ENSMUSG00000000532	na	2554.37	6331.79	4949.3	4605.67	4101.03	4074.18	3496.8	3777.24	2477.08
ENSMUSG00000000538	na	5279.08	4005.78	3414.33	4235.31	3210.91	4036.66	4669.18	3783.45	6083.06
ENSMUSG00000000552	na	160.885	46.0436	94.3679	90.1742	120.917	85.5872	194.471	83.6061	130.951
ENSMUSG00000000555	na	554.063	1413.85	1277.98	933.74	728.553	834.765	373.274	498.117	484.941
ENSMUSG00000000561	na	1414.87	1394	1287.07	927.676	963.596	1172.12	984.413	1024.38	1320.76
ENSMUSG00000000562	na	10.3242	38.1051	12.047	41.6934	24.3867	37.5177	16.59	17.5875	0.844843
ENSMUSG00000000563	na	14718.6	15035	13190.9	15361.9	21307.4	18180.8	19133.1	18938.6	13687.7
ENSMUSG00000000567	na	252.942	2584.79	913.562	1386.55	3326.75	2324.92	1120.74	1489.95	179.107
ENSMUSG00000000568	na	2909.7	3633.44	4162.23	4434.02	4733.07	3360.17	3524.42	3906.61	2297.97
ENSMUSG00000000579	na	385.847	218.779	272.534	234.805	256.959	183.264	256.433	221.915	243.867
ENSMUSG00000000581	na	1869.53	1697.26	1783.96	1761.79	2249.67	2391.68	2375.13	2415.77	1704.05
ENSMUSG00000000594	na	13432.6	12630.2	8960.94	15872.6	14270.3	12682.1	13877.5	11527.1	10752.3
ENSMUSG00000000600	na	1503.88	1663.92	1521.93	1674.52	1344.32	1320.15	1000.01	1607	1461.58
ENSMUSG00000000605	na	4997.73	5221.96	3898.2	5122.44	5257.34	5615.89	5301.42	5110.5	4591.76
ENSMUSG00000000627	na	6.88277	13.4955	32.1253	9.69615	11.1772	10.5518	6.45165	23.7617	8.44843
ENSMUSG00000000628	na	91.1967	1478.16	4682.26	860.048	1800.55	864.079	770.512	3468.33	1054.36
ENSMUSG00000000631	na	7063.44	10561.5	7943.16	11047.1	7519.53	11343.3	9111.42	9958.81	10632.4
ENSMUSG00000000673	na	3424.15	2706.26	2349.15	3939.48	4126.37	5714.51	6052.56	5338.47	5296.29
ENSMUSG00000000682	na	261.545	157.977	210.822	296.702	101.611	177.036	189.863	95.0469	157.986
ENSMUSG00000000686	na	135.074	62.7146	209.818	170.652	171.723	90.2769	662.677	159.292	373.421
ENSMUSG00000000690	na	1695.74	1888.58	1637.38	1204.26	1580.06	916.832	796.32	885.342	1190.38
ENSMUSG00000000693	na	149.7	78.5916	173.677	133.807	87.3856	110.208	108.756	66.0048	69.2771
ENSMUSG00000000708	na	2787.01	3785.55	2842.1	3334.83	2743.24	4701.88	2929.38	3595.19	2994.92
ENSMUSG00000000711	na	5097.88	5119.27	4401.09	5022.92	3432.64	4179.83	4715.77	4009.03	5449.37
ENSMUSG00000000732	na	852.603	1844.91	2198.58	1570.78	1371.74	871.11	554.843	597.563	1046.77
ENSMUSG00000000738	na	2837.39	3379.42	2941.47	3861	3301.3	4618.21	4608.32	4591.3	4275.73
ENSMUSG00000000739	na	167.767	89.7057	126.493	61.0857	107.708	32.8279	35.9449	66.8849	76.0359
ENSMUSG00000000740	na	1302.26	1487.41	1722.61	1245.87	2536.76	1390.11	1550.5	1340.36	889.931
ENSMUSG00000000743	na	3578.96	3522.33	3644.45	4061.32	4115.67	4946.78	5429.69	4821.74	3922.64
ENSMUSG00000000751	na	1495.26	992.313	1245.86	1271.16	1296.54	1083.33	1641.48	1171.37	1634.75
ENSMUSG00000000753	na	56.7828	15.0833	82.321	35.8757	56.9022	14.0691	60.8299	29.9222	85.3292
ENSMUSG00000000759	na	1640.67	1522.61	1525.95	1542.66	1295.54	1513.61	1483.89	1635.16	1498.76
ENSMUSG00000000776	na	840.561	1617.09	1305.08	1499.01	1636.95	1610.91	1562.21	1661.55	900.602
ENSMUSG00000000782	na	36.9949	53.1883	92.3601	82.4172	65.0311	57.4489	50.6916	58.0842	94.6224
ENSMUSG00000000787	na	11485.6	28636.9	25276.8	31626.3	24981.1	22141.1	16575.3	21133.8	13045.3
ENSMUSG00000000791	na	10.3242	10.3201	11.0431	18.4227	8.12889	16.414	43.3183	11.4408	30.4144
ENSMUSG00000000794	na	60.2242	146.863	54.2114	53.3288	38.6122	59.7938	42.3966	29.9222	99.6915
ENSMUSG00000000804	na	2769.43	3333.34	2492.72	3719.4	2848.17	3142.1	2582.52	2971.12	2899.46
ENSMUSG00000000805	na	2026.1	1479.74	1683.57	2326.1	3758.57	4722.43	6265.34	5038.45	4246.26
ENSMUSG00000000811	na	684.829	830.379	942.67	981.254	846.415	952.012	897.704	1109.77	640.392
ENSMUSG00000000823	na	1781.74	969.293	1250.87	1456.35	959.217	1479.61	1854.39	1589.38	1662.65
ENSMUSG00000000826	na	5089.88	9201	8385.52	10704.7	7500.03	10123	7510.02	9861.6	5365.68
ENSMUSG00000000827	na	2073.43	2389.51	2087.13	1975.11	1779.21	2166.64	1576.97	2012.7	1818.1
ENSMUSG00000000838	na	1994.3	2973.86	2625.24	2957.36	2684.58	2629.75	1828.59	2291.67	1788.56
ENSMUSG00000000876	na	9276.24	5430.77	4831.84	6444.06	6073.3	6468.28	9099.59	5782.02	7438.86
ENSMUSG00000000881	na	1213.1	578.723	742.898	693.272	641.168	533.455	755.758	609.006	915.799
ENSMUSG00000000884	na	113.03	89.4894	86.3367	126.05	117.869	85.5871	137.328	73.9254	95.6703
ENSMUSG00000000901	na	85.1743	13.4955	29.1135	21.3315	13.2094	12.8967	47.9266	18.4813	106.45
ENSMUSG00000000902	na	1361.93	977.237	973.8	745.635	742.777	1011.8	903.234	1060.48	1154.9
ENSMUSG00000000915	na	4494.45	11380.6	8942.87	9059.09	9618.5	9286.73	6447.95	8736.36	3320.23
ENSMUSG00000000916	na	496.419	423.124	369.441	376.211	310.93	476.006	389.864	457.633	469.733
ENSMUSG00000000934	na	930.033	958.184	848.308	1065.61	1102.48	1091.53	1382.5	1026.15	1105.05
ENSMUSG00000000938	na	1375.71	1062.18	957.733	1092.76	929.741	876.971	1029.5	745.417	1275.72
ENSMUSG00000000942	na	90.3363	33.3419	47.184	37.815	43.6928	14.0691	74.6549	34.3225	46.4664
ENSMUSG00000000948	na	17.2739	9.52627	9.03523	43.6327	3.04833	8.20699	12.9033	7.92058	18.5866
ENSMUSG00000000957	na	949.821	1510.7	1251.88	1683.24	994.775	1015.32	885.721	712.852	491.699
ENSMUSG00000000958	na	1764.56	1562.31	1424.56	3814.5	2466.13	1871.18	2296.77	1717.02	2322.47
ENSMUSG00000000959	na	2377.12	1840.15	1797	2013.9	2086.08	1881.75	2626.75	1775.98	2285.29
ENSMUSG00000000976	na	601.381	536.645	652.545	480.929	409.493	527.593	437.79	551.801	687.699
ENSMUSG00000001014	na	12.0448	11.9078	13.0509	13.5746	27.435	9.37941	14.7466	14.9611	10.1381
ENSMUSG00000001016	na	2228.27	2398.23	2415.41	2024.55	2554.48	1590.99	1804.63	1706.45	1504.67
ENSMUSG00000001017	na	4208.75	4867.88	4527.67	3935.72	4462.79	3768.16	3320.74	3682.17	3417.39
ENSMUSG00000001018	na	1083.18	931.988	1257.9	1109.24	998.838	968.424	1098.62	996.232	1046.76
ENSMUSG00000001020	na	85.1743	65.0962	107.419	96.9615	159.529	93.7941	82.0282	94.1669	87.0188
ENSMUSG00000001025	na	375.111	635.082	4354.96	506.139	6113.97	834.768	492.169	3284.35	2357.14
ENSMUSG00000001027	na	12.0448	12.7017	20.0783	18.4227	22.3545	1.17243	10.1383	3.52026	29.5695
ENSMUSG00000001029	na	351.021	164.328	213.834	133.807	111.772	77.3802	144.701	118.809	220.504
ENSMUSG00000001034	na	571.27	638.262	762.977	486.746	539.555	600.283	340.094	705.813	464.665
ENSMUSG00000001036	na	1737.9	1713.12	2089.12	1548.47	1217.3	1402.23	1095.86	1481.14	1958.37
ENSMUSG00000001039	na	243.478	172.267	156.611	166.774	161.562	170.002	188.941	149.611	153.761
ENSMUSG00000001052	na	2048.48	2674.5	2231.69	2303.8	2082.01	2271	1802.78	2079.58	2190.68
ENSMUSG00000001053	na	709.785	716.852	568.216	618.614	615.763	665.939	589.866	469.954	642.081
ENSMUSG00000001054	na	706.346	855.779	915.573	928.886	1063.86	1218.16	988.947	1431.85	920.877
ENSMUSG00000001056	na	887.013	1020.9	1195.66	1139.29	1384.97	3076.45	2574.21	2392.89	1380.47
ENSMUSG00000001062	na	1008.33	648.58	704.747	797.024	732.618	995.39	1200.01	920.547	980.866
ENSMUSG00000001065	na	1010.9	747.812	805.142	637.037	538.539	692.904	686.643	795.578	958.056
ENSMUSG00000001076	na	6.02242	3.17542	1.00391	4.84807	2.03222	7.03456	22.12	5.28039	5.06906
ENSMUSG00000001082	na	457.704	395.34	661.58	421.783	442.008	425.591	444.243	455.873	392.007
ENSMUSG00000001089	na	2294.54	2773.73	2385.31	2861.39	1944.84	2514.85	1882.04	2014.49	2377.36
ENSMUSG00000001095	na	2158.61	761.307	712.779	1337.1	1246.77	1688.29	1546.55	1536.59	2938.36
ENSMUSG00000001098	na	1947.82	3282.59	4079.91	3710.7	2534.18	2729.41	2432.27	3408.48	2444.98
ENSMUSG00000001100	na	2837.4	2392.69	2412.42	2984.51	2687.6	2977.95	4013.8	3128.6	3283.94
ENSMUSG00000001105	na	1441.94	1066.94	801.124	832.9	1062.85	1007.11	1215.68	976.871	953.828
ENSMUSG00000001119	na	342.418	117.491	305.19	367.484	190.013	139.519	424.888	188.334	244.16
ENSMUSG00000001120	na	805.285	1110.6	1145.47	1096.64	1221.36	1636.71	1884.8	1565.63	1075.48
ENSMUSG00000001123	na	1429.88	2330.75	2622.22	2375.62	1378.87	1957.94	800.01	544.758	567.736
ENSMUSG00000001127	na	3720.16	2862.63	3038.86	3226.89	3124.55	2961.55	3918.96	2857.56	3498.52
ENSMUSG00000001128	na	224.55	196.082	157.615	184.227	168.674	187.588	183.411	147.851	159.675
ENSMUSG00000001131	na	229.712	891.496	856.337	652.554	480.621	655.388	227.651	271.06	103.071
ENSMUSG00000001134	na	347.565	363.259	383.961	399.525	363.857	428.261	525.445	371.569	241.135
ENSMUSG00000001138	na	1613.99	1333.66	1390.41	1737.54	1348.38	1377.59	1815.72	1613.15	1761.48
ENSMUSG00000001143	na	1682.84	1366.23	1039.05	1147.05	1215.26	1782.09	1657.16	1642.2	1966.78
ENSMUSG00000001150	na	957.564	834.342	780.042	836.778	634.054	803.112	797.24	842.221	1186.16
ENSMUSG00000001151	na	1424.74	1105.05	1036.04	1322.56	901.291	922.699	1413.83	992.714	1512.28
ENSMUSG00000001155	na	125.611	64.3023	64.2505	85.3261	76.2084	291.934	716.134	315.063	354.834
ENSMUSG00000001156	na	908.525	1696.47	1774.92	1902.39	1873.71	1394.02	893.094	1094.8	798.377
ENSMUSG00000001157	na	1182.98	818.465	819.195	579.83	667.585	638.973	532.722	716.372	1106.75
ENSMUSG00000001158	na	1067.69	807.354	933.642	586.617	962.26	800.766	750.234	801.739	755.288
ENSMUSG00000001166	na	228.852	246.095	443.73	250.161	320.075	220.416	140.093	174.253	140.244
ENSMUSG00000001173	na	780.335	714.47	802.128	743.694	581.214	640.145	735.486	757.736	875.258
ENSMUSG00000001175	na	8431.45	10571.3	12297.6	9816.33	12842.3	11856	9750.53	13329.4	8547.43
ENSMUSG00000001211	na	11580.7	9678.82	8954.98	12667.7	11127.2	14894.6	18064.1	13105.3	14993.8
ENSMUSG00000001227	na	509.325	768.451	729.848	577.892	629.988	483.04	678.347	597.564	420.732
ENSMUSG00000001228	na	84.1428	77.004	74.9884	76.4909	66.6565	92.4433	82.706	76.5139	51.2367
ENSMUSG00000001229	na	1255.25	1770.31	1383.4	1521.33	965.31	1780.91	1533.64	1530.44	1614.49
ENSMUSG00000001240	na	753.134	139.784	248.022	234.168	259.351	125.98	246.666	145.296	463.916
ENSMUSG00000001247	na	1644.98	2766.58	2671.42	2507.39	2678.47	3041.25	2001.88	2994.79	1629.69
ENSMUSG00000001248	na	1669.92	2494.3	1989.77	2343.55	2295.39	1424.5	1925.36	1498.75	1395.68
ENSMUSG00000001249	na	12056.5	8858.29	7353.71	12997.6	10728.4	14542.8	19027	13642.4	13997.6
ENSMUSG00000001260	na	11.1845	7.1447	5.01957	12.605	3.04833	15.2415	11.06	14.9611	6.75875
ENSMUSG00000001270	na	3644.28	1445.6	1199.9	2807.25	2082.81	1656.18	4079.56	1328.55	1509.72
ENSMUSG00000001280	na	2774.62	3733.51	3297.86	3164.81	2743.5	3125.69	2459	2854.05	3045.65
ENSMUSG00000001281	na	64.526	21.4341	27.1057	17.4531	16.2578	32.8279	30.4149	32.5624	68.4323
ENSMUSG00000001285	na	1115.15	680.056	671.672	801.249	857.15	689.885	938.982	681.518	759.132
ENSMUSG00000001288	na	875.835	447.734	602.349	399.482	344.462	334.141	292.167	381.947	762.888
ENSMUSG00000001289	na	3975.89	3378.85	3619.75	3540.44	5087.19	3035.03	4012.29	3335.19	2432.61
ENSMUSG00000001300	na	633.215	597.773	1802.03	475.111	850.485	338.831	344.703	1070.16	1285.01
ENSMUSG00000001305	na	258.104	479.488	489.909	479.961	482.654	561.594	384.335	499.878	322.73
ENSMUSG00000001313	na	148.84	123.047	174.681	242.404	371.897	247.382	271.853	322.104	198.471
ENSMUSG00000001323	na	2709.21	2167.24	1865.29	2827.42	2240.54	3482.14	3880.14	2935.04	3990.17
ENSMUSG00000001333	na	36.9949	37.3112	33.1292	21.3315	17.2739	12.8967	23.0416	14.081	22.8108
ENSMUSG00000001334	na	64.5259	59.5391	65.2544	118.293	103.643	68.0007	87.5582	73.9254	43.087
ENSMUSG00000001348	na	1530.56	1222.53	1559.06	1728.84	2070.82	1848.89	2412.03	2196.68	1916.93
ENSMUSG00000001349	na	69.688	32.5481	540.106	47.5111	983.596	7.03456	61.7516	526.277	330.333
ENSMUSG00000001366	na	1599.38	1506.73	1258.91	1451.51	1258.97	1641.4	1513.38	1450.34	2226.16
ENSMUSG00000001376	na	1211.37	1188.4	1075.19	1084.03	1227.47	1504.22	1404.62	1284.01	1192.92
ENSMUSG00000001380	na	1609.71	2005.27	1955.62	1962.5	2360.43	2138.51	2102.32	2067.27	1501.29
ENSMUSG00000001383	na	2302.28	2357.77	2789.88	2350.34	3459.84	2178.38	2783.41	2225.68	1749.67
ENSMUSG00000001403	na	90.3363	69.8593	28.1096	52.3592	36.58	83.2423	103.226	57.2042	56.6045
ENSMUSG00000001415	na	2038.16	1817.13	1817.09	1790.88	1477.43	2506.66	2140.11	2431.62	2340.21
ENSMUSG00000001416	na	3776.95	4700.52	5160.01	4586.36	4651.78	6181	5649.97	6025.9	4710.03
ENSMUSG00000001418	na	4569.34	4380.52	3826.93	4834.52	5004.34	5669.86	6907.82	5586.63	5043.72
ENSMUSG00000001419	na	3345.08	5845.06	4707.3	5811.85	5260.41	5533.92	4987.14	5203.86	3558.45
ENSMUSG00000001420	na	173.79	206.402	236.924	250.161	226.593	161.795	170.508	204.175	219.659
ENSMUSG00000001424	na	2088.92	2560.17	2361.18	2856.5	2475.25	2875.98	3030.47	2791.54	2481.28
ENSMUSG00000001435	na	6387.03	7005.62	7050.71	8605.98	5119.22	7822.54	5128.01	7057.48	4771.57
ENSMUSG00000001436	na	3336.45	1975.91	2598.15	4646.43	4372.32	3115.15	4133.65	2925.35	3613.37
ENSMUSG00000001440	na	6013.82	6965.27	5904	5852.6	5397.58	6376.85	5188.06	6408.59	5623.24
ENSMUSG00000001441	na	4476.38	4978.25	3812.88	3483.83	5406.71	4301.61	3393.6	4568.4	3920.06
ENSMUSG00000001445	na	2068.27	1870.32	1926.51	2362.95	2461.02	2632.1	3186.2	2675.4	2432.3
ENSMUSG00000001467	na	7613.2	5828.5	4745.51	11246.6	9373.65	16625.2	10900.6	11976.7	9081.24
ENSMUSG00000001472	na	10568.5	12666.8	13650.5	12799.8	11740.7	12747.7	13994.5	13823.2	10026.9
ENSMUSG00000001473	na	395.759	1013.75	1053.11	1202.32	1002.9	1253.32	666.364	874.784	366.662
ENSMUSG00000001482	na	3800.02	2766.59	2948.5	4162.53	4053.3	6752.19	7877.33	5587.52	5763.28
ENSMUSG00000001493	na	264.987	289.757	183.716	153.199	108.724	90.2769	50.6916	30.8022	277.109
ENSMUSG00000001504	na	1225.13	1059.8	655.556	1024.89	589.344	709.318	929.04	430.352	503.526
ENSMUSG00000001506	na	504.163	57.1576	349.362	131.868	214.4	133.657	288.481	355.546	687.702
ENSMUSG00000001507	na	2914.83	6486.17	5664.89	3959.05	3422.32	4237.08	2341.97	5209.72	4808.04
ENSMUSG00000001508	na	8.60346	2.38157	20.0783	4.84807	16.2578	2.34485	3.68666	6.16045	5.9139
ENSMUSG00000001517	na	79.1518	94.4689	60.2349	74.6603	69.0956	90.2768	107.835	111.768	75.1911
ENSMUSG00000001518	na	795.823	773.215	881.441	776.662	769.197	866.426	978.805	758.615	733.321
ENSMUSG00000001520	na	163.466	17.4648	40.1566	44.6023	30.4833	15.2415	27.65	33.4424	55.7596
ENSMUSG00000001521	na	1484.96	1494.04	1368.34	1243.05	1291.48	2205.33	1698.63	1965.18	2003.97
ENSMUSG00000001524	na	331.233	224.661	260.014	205.558	263.173	240.347	271.891	212.975	362.438
ENSMUSG00000001525	na	3258.98	3241.31	6959.26	2888.49	4252.4	2856.02	2271.9	5519.82	2558.18
