#1.2							
20399	6						
Name	Description	S39	S3	S2	S35	S37	S33
ENSMUSG00000000538	na	3820.44	3912.43	3071.91	3984.56	3700.15	3457.81
ENSMUSG00000000552	na	256.133	224.351	192.688	251.892	269.48	300.669
ENSMUSG00000000555	na	1667.88	1651.98	1283.71	1748.61	1614.17	1322.28
ENSMUSG00000000561	na	1173.95	1090.66	1234.11	1194.11	1222.49	1305.51
ENSMUSG00000000562	na	44.6038	23.5805	42.9642	82.0514	45.3649	31.4331
ENSMUSG00000000563	na	4267.14	3965.08	5431.24	3269.46	4119.52	4747.37
ENSMUSG00000000567	na	39.8731	53.2632	27.9918	47.7067	44.6878	36.217
ENSMUSG00000000568	na	3522.36	3391.91	3393.56	3176.61	3972.5	3834.91
ENSMUSG00000000579	na	688.051	713.644	818.883	731.964	911.74	786.853
ENSMUSG00000000581	na	1025.89	981.334	1520.02	821.193	1027.82	1147.33
ENSMUSG00000000594	na	3285.14	3462.11	3065.43	3434.25	3501.9	3420.8
ENSMUSG00000000600	na	1812.53	2011.1	1973.76	2004.95	2101	1857.99
ENSMUSG00000000605	na	4368.45	4317.51	4599.13	4196.95	4229.1	4268.18
ENSMUSG00000000627	na	1453.67	1135.47	1849.41	1022.83	935.736	1340.03
ENSMUSG00000000628	na	1346.9	1335.61	1122.28	1300.17	1154.43	1033.21
ENSMUSG00000000631	na	4751.02	4766.28	3762.59	5014.36	4209.43	4115.82
ENSMUSG00000000673	na	69.6089	74.2457	87.8814	87.1443	104.272	360.804
ENSMUSG00000000682	na	973.174	804.597	1067.6	927.419	945.215	664.89
ENSMUSG00000000686	na	50.6861	110.562	29.9448	116.404	41.3024	36.9004
ENSMUSG00000000690	na	130.432	85.5439	195.943	117.677	123.907	154.435
ENSMUSG00000000693	na	266.947	320.387	256.483	347.306	435.369	300.67
ENSMUSG00000000708	na	3271.24	3024.67	3162	3237.44	2840.81	2791.52
ENSMUSG00000000711	na	4446.47	4609.65	3429.67	5309.68	3581.57	3843.99
ENSMUSG00000000730	na	15.5437	5.64913	16.2743	7.63308	4.73961	10.2501
ENSMUSG00000000732	na	960.333	961.157	898.984	1142.43	1197.09	1069.43
ENSMUSG00000000738	na	1511.79	1584.18	1416.52	1470	1337.92	1545.03
ENSMUSG00000000739	na	525.784	405.931	626.888	590.929	796.255	565.806
ENSMUSG00000000740	na	1659.29	1215.33	3161.96	1066.06	1794.12	1935.42
ENSMUSG00000000743	na	2645.62	2552.35	2584.83	2389.62	2391.06	2608.39
ENSMUSG00000000751	na	1818.59	1933.63	1747.86	1911.41	1824.07	1729.54
ENSMUSG00000000753	na	462.258	510.036	612.566	562.939	656.776	671.039
ENSMUSG00000000759	na	1885.53	2351.66	2013.45	2284.83	2559.37	2338.4
ENSMUSG00000000776	na	379.808	339.754	350.225	337.765	344.638	371.735
ENSMUSG00000000782	na	938.71	986.173	839.104	1165.31	1052.2	675.14
ENSMUSG00000000787	na	10668.4	11339.5	9107.12	18119.2	13257.6	11738.4
ENSMUSG00000000791	na	15.5437	11.2983	24.737	31.1684	39.2711	21.8669
ENSMUSG00000000792	na	21.6261	27.4386	20.8311	16.5383	20.9897	26.6503
ENSMUSG00000000794	na	200.717	217.088	189.433	238.534	172.657	142.135
ENSMUSG00000000804	na	2045.72	2173.3	1767.39	2225.02	1805.79	1520.43
ENSMUSG00000000805	na	4499.51	5200.25	5107.54	4700.27	5126.86	4645.95
ENSMUSG00000000811	na	546.737	536.665	654.23	471.34	553.859	615.009
ENSMUSG00000000817	na	57.4443	47.6141	31.2467	37.5293	34.5315	22.5502
ENSMUSG00000000823	na	1775.37	1894.07	1535.02	1877.09	2191.67	2138.13
ENSMUSG00000000826	na	4523.11	4223.88	4269.17	4905.43	3841.76	3750.9
ENSMUSG00000000827	na	2605.29	2502.58	2712.62	2441.31	2459.83	2621.96
ENSMUSG00000000838	na	1940.26	2151.53	2014.81	2172.87	2067.17	2023.39
ENSMUSG00000000861	na	75.6913	75.8597	116.524	101.138	71.7713	99.0843
ENSMUSG00000000876	na	1205.65	1143.54	1191.93	1045.73	1027.82	1297.66
ENSMUSG00000000881	na	1361.79	1375.96	1372.26	1305.27	1316.95	1607.21
ENSMUSG00000000884	na	89.2076	91.1931	94.3911	74.9528	75.6258	96.3509
ENSMUSG00000000901	na	704.201	673.861	869.049	613.19	658.804	982.643
ENSMUSG00000000902	na	1959.19	1739.93	1833.15	1852.93	1853.19	1987.85
ENSMUSG00000000903	na	839.359	919.19	1344.91	890.525	1385.34	1518.37
ENSMUSG00000000915	na	2811.39	2672.04	2687.87	2462.92	2772.66	3036.07
ENSMUSG00000000916	na	376.429	431.755	307.259	442.083	475.316	478.338
ENSMUSG00000000934	na	139.218	92.8071	132.147	113.224	160.47	179.718
ENSMUSG00000000942	na	144.624	168.667	192.688	138.668	203.126	219.352
ENSMUSG00000000948	na	10.1372	16.9474	4.55681	18.4466	17.6043	12.3001
ENSMUSG00000000957	na	1832.81	1405.02	1824.68	1576.23	1699.48	1656.42
ENSMUSG00000000958	na	514.969	558.457	556.58	533.042	564.013	681.288
ENSMUSG00000000959	na	1215.79	1279.13	1305.86	1277.27	1362.97	1331.15
ENSMUSG00000000976	na	630.537	718.242	560.489	848.549	669.644	674.452
ENSMUSG00000000982	na	15.5437	21.7895	22.7841	12.0857	17.6043	21.8669
