#1.2							
19067	6						
Name	Description	S78	S76	S74	S80	S43	S44
ENSMUSG00000000568	na	2780.72	2574.71	2628.21	2454.51	2104.12	2153.54
ENSMUSG00000000579	na	364.124	398.519	258.385	283.151	257.865	238.811
ENSMUSG00000000581	na	1706.76	1589.86	1440.5	2159.14	2679.66	2354.38
ENSMUSG00000000594	na	17029.2	12841.2	13199.9	10313.9	15635.1	14378.5
ENSMUSG00000000600	na	1592.93	1713.27	1697.81	1756.51	1580.28	1516.03
ENSMUSG00000000605	na	4940.33	4654.58	4592.37	4541.86	5083.26	5273.12
ENSMUSG00000000627	na	3.34824	2.75666	8.30039	14.0257	0.975484	2.05981
ENSMUSG00000000628	na	85.3802	108.199	925.871	554.428	23.4116	403.723
ENSMUSG00000000631	na	8622.34	8200.33	8744.93	9850.26	9720.99	9919.87
ENSMUSG00000000673	na	4907.68	3592.61	3459.76	4983.21	8645.02	7608.02
ENSMUSG00000000682	na	90.4025	64.0923	93.568	48.6775	40.9703	47.3757
ENSMUSG00000000686	na	129.744	88.9023	183.363	114.681	120.96	170.964
ENSMUSG00000000690	na	1577.87	2261.15	1889.47	1933.9	1074.98	1112.3
ENSMUSG00000000693	na	80.3578	84.0781	113.942	71.7787	54.6271	58.7047
ENSMUSG00000000708	na	2305.77	2186.44	2112.22	2792.85	3335.66	3446.23
ENSMUSG00000000711	na	6039.68	5344.92	5287.18	5111.28	5506.4	5686.47
ENSMUSG00000000732	na	466.244	763.597	738.73	629.508	279.964	393.423
ENSMUSG00000000738	na	3682.22	3051.62	3273.38	3773.73	4565.24	4656.21
ENSMUSG00000000739	na	77.0095	116.469	98.0955	47.8524	51.7006	43.2561
ENSMUSG00000000740	na	920.852	1112.65	1014.69	991.568	1090.86	1033.48
ENSMUSG00000000743	na	3474.97	3315.2	3325.04	3875.85	4548.65	4406.94
ENSMUSG00000000751	na	1520.1	1685.68	1686.52	1844.83	1662.24	1767.32
ENSMUSG00000000753	na	41.853	72.3623	110.169	70.1286	65.3574	47.3757
ENSMUSG00000000759	na	1649.85	1731.87	1429.18	1503.22	1571.51	1391.4
ENSMUSG00000000776	na	680.531	563.047	471.615	562.68	653.573	542.761
ENSMUSG00000000782	na	28.4601	71.6731	76.9673	81.6792	17.5587	29.8673
ENSMUSG00000000787	na	12669	12912.8	15489.1	11440.9	9063.21	10492.7
ENSMUSG00000000791	na	5.85942	4.82416	7.54581	4.95025	3.90194	4.11963
ENSMUSG00000000794	na	77.0096	149.549	144.125	112.206	24.3871	43.2561
ENSMUSG00000000804	na	2720.46	2487.84	2590.45	2507.27	2544.05	2551.04
ENSMUSG00000000805	na	3642.02	3305.94	2820.6	4961.01	8985.13	7954.9
ENSMUSG00000000811	na	791.857	671.933	775.714	684.788	696.498	636.483
ENSMUSG00000000823	na	2069.22	1933.83	1840.39	1673.99	2045.62	2058.78
ENSMUSG00000000826	na	4926.91	4778.11	5119.16	5367.77	4945.59	4745.86
ENSMUSG00000000827	na	2136.17	2062.01	1931.68	1748.27	1889.51	1889.88
ENSMUSG00000000838	na	2106.93	2053.05	1996.61	1791.16	1811.48	1800.28
ENSMUSG00000000876	na	7885.13	6325.16	4917.6	5649.05	7989.23	7215.53
ENSMUSG00000000881	na	1108.26	1094.38	1102.42	924.047	890.625	980.465
ENSMUSG00000000884	na	132.256	141.279	147.143	116.331	84.8671	89.6019
ENSMUSG00000000901	na	130.581	229.492	166.008	119.631	114.132	97.8411
ENSMUSG00000000902	na	1488.29	1488.59	1652.53	1453.72	1421.28	1423.33
ENSMUSG00000000915	na	2935.58	3034.39	2794.97	2981.7	2703.06	2658.19
ENSMUSG00000000916	na	477.124	527.901	528.961	447.172	494.571	449.039
ENSMUSG00000000934	na	932.485	724.312	659.504	874.543	1398.84	1057.71
ENSMUSG00000000938	na	1747.79	1671.23	1670.64	1498.28	1831	1767.33
ENSMUSG00000000942	na	95.4249	99.2398	94.3226	60.2281	73.1613	54.585
ENSMUSG00000000948	na	33.4824	11.7158	11.3187	16.5008	14.6323	15.4486
ENSMUSG00000000957	na	297.156	215.019	311.642	219.461	206.803	173.024
ENSMUSG00000000958	na	4501.7	3826.3	3621.33	1271.38	3312.7	3415.18
ENSMUSG00000000959	na	2648.46	2135.72	1970.21	2013.93	2700.14	2473.83
ENSMUSG00000000976	na	746.655	681.589	774.952	689.732	656.502	701.369
ENSMUSG00000001014	na	6.69648	4.82415	14.337	11.5506	2.92645	7.20934
ENSMUSG00000001016	na	1596.28	1712.57	1832.89	1575.83	1228.14	1351.24
ENSMUSG00000001017	na	3790.2	3820.76	3563.11	3329.86	3375.17	3429.59
ENSMUSG00000001018	na	1230.48	1234.98	1149.98	1086.58	984.264	1056.68
ENSMUSG00000001020	na	41.853	93.7264	127.524	145.207	39.9948	32.957
ENSMUSG00000001025	na	269.534	1447.26	3415.24	5078.97	148.274	1156.59
ENSMUSG00000001027	na	17.5783	33.7691	16.6008	22.2761	2.92645	15.4486
ENSMUSG00000001029	na	217.636	241.897	239.957	175.734	145.347	159.635
ENSMUSG00000001034	na	452.849	574.763	741.751	742.539	301.424	410.933
ENSMUSG00000001036	na	1188.63	1734.65	1949.81	1771.35	853.55	1164.83
ENSMUSG00000001039	na	290.46	227.425	217.319	181.509	218.508	217.31
ENSMUSG00000001052	na	2051.65	1945.53	2010.2	1966.08	2097.3	1948.58
ENSMUSG00000001053	na	453.687	496.888	510.097	410.046	414.58	448.009
ENSMUSG00000001054	na	739.963	815.967	742.505	839.892	1093.51	947.513
ENSMUSG00000001056	na	719.871	624.383	672.329	1788.69	2225.09	1883.71
ENSMUSG00000001062	na	1104.92	1015.83	1036.8	1049.45	1359.83	1256.48
ENSMUSG00000001065	na	1108.27	1223.96	990.763	1030.48	1155.95	1156.58
ENSMUSG00000001076	na	9.20767	6.89165	3.01832	6.60034	12.6813	8.23925
ENSMUSG00000001082	na	382.537	412.81	364.462	470.274	378.488	404.753
ENSMUSG00000001089	na	2205.71	2163.22	2512.71	2119.53	1436.9	1792.03
ENSMUSG00000001095	na	4845.74	2988.22	3240.92	2074.16	4068.74	3114.44
ENSMUSG00000001098	na	1460.67	1873.84	2345.99	2588.99	1152.05	1512.93
ENSMUSG00000001100	na	3760.87	3215.01	3345.75	3205.34	4233.55	4034.14
ENSMUSG00000001105	na	1276.52	1236.36	1182.43	1226.01	1415.43	1270.91
ENSMUSG00000001119	na	385.048	380.419	643.658	324.242	249.724	303.822
ENSMUSG00000001120	na	698.946	667.801	548.581	928.169	955.977	1046.39
ENSMUSG00000001123	na	324.779	322.53	338.051	283.815	230.215	226.579
ENSMUSG00000001127	na	3735.67	3662.19	3240.92	3330.67	3779.97	3533.58
ENSMUSG00000001128	na	135.604	190.21	176.572	154.283	124.862	97.8411
ENSMUSG00000001131	na	15.9042	17.2291	22.6374	44.5523	11.7058	10.2991
ENSMUSG00000001134	na	280.153	267.37	238.781	291.668	336.401	295.96
ENSMUSG00000001138	na	1547.74	1599.52	1411.07	1373.68	1519.81	1473.81
ENSMUSG00000001143	na	2102.68	1970.32	2012.47	2223.52	2650.39	2717.92
ENSMUSG00000001150	na	1355.2	1274.96	1305.42	1238.39	1260.32	1348.15
ENSMUSG00000001151	na	1586.24	1556.14	1406.54	1282.11	1414.45	1544.86
ENSMUSG00000001155	na	220.147	195.723	141.861	445.523	1294.47	824.952
ENSMUSG00000001156	na	782.652	845.605	768.163	812.666	778.436	682.828
ENSMUSG00000001157	na	1197	1308.72	1272.98	1285.42	1222.28	1174.09
ENSMUSG00000001158	na	914.068	1004.12	825.512	982.618	957.925	879.541
ENSMUSG00000001166	na	126.396	109.577	116.96	123.756	112.181	104.021
ENSMUSG00000001173	na	1005.31	1061.31	1063.21	1089.06	786.24	867.18
ENSMUSG00000001175	na	8868.46	9731.84	10776.3	10889.4	9703.54	9353.34
ENSMUSG00000001211	na	14806.6	11749.5	12130.9	13220.7	17611.2	17493.2
ENSMUSG00000001227	na	210.102	263.261	193.173	263.188	70.2349	170.964
ENSMUSG00000001228	na	68.2761	41.2214	63.3007	73.7475	27.3136	41.1963
ENSMUSG00000001229	na	1487.46	1448.65	1536.35	1587.4	1610.52	1742.61
ENSMUSG00000001240	na	454.705	571.486	630.473	459.753	250.716	331.523
ENSMUSG00000001247	na	1464.01	1468.61	1596.67	1806.84	1582.23	1476.9
ENSMUSG00000001248	na	1335.95	1363.87	1265.42	1333.27	1169.61	1049.47
ENSMUSG00000001249	na	13481.9	10652.9	8532.75	12970.9	18755.6	15642.3
ENSMUSG00000001260	na	15.0671	13.0941	8.30039	4.12521	7.80387	6.17944
ENSMUSG00000001270	na	3596.46	2589.27	2446.28	2499.44	2521.82	2747.97
ENSMUSG00000001280	na	2802.48	2856.59	2857.62	2338.17	2331.41	2427.49
ENSMUSG00000001281	na	56.0831	35.1474	62.6302	42.9022	39.9948	51.4953
ENSMUSG00000001285	na	1030.65	1014.34	905.746	905.756	1011.11	966.633
