#1.2										
20399	9									
Name	Description	S41	S40	S5	S1	S6	S7	S34	S36	S38
ENSMUSG00000000359	na	121.617	17.8418	13.8317	14.2293	92.8788	25.4032	25.0401	7.58841	43.1619
ENSMUSG00000000374	na	1781.57	2286.6	2629.87	1927.65	2369.19	2257.38	2078.33	2369.86	2112.4
ENSMUSG00000000378	na	949.006	1025.55	1027.24	786.791	944.523	961.814	692.107	832.449	1172.37
ENSMUSG00000000384	na	602.911	1196.11	1377.63	781.774	665.108	1209.72	1007.61	904.535	898.78
ENSMUSG00000000385	na	3006.15	1181.13	1501.2	2538.67	2140.94	1903.48	2837.54	2353.17	1593.19
ENSMUSG00000000386	na	120.53	368.253	1052.39	346.333	489.962	747.203	504.399	1059.66	1126.42
ENSMUSG00000000392	na	102.21	126.32	222.23	135.597	149.551	202.35	276.442	259.524	211.367
ENSMUSG00000000399	na	1200.67	1495.17	1718.8	1621.3	1251.51	1754.56	1477.36	1444.82	1621.73
ENSMUSG00000000402	na	976.821	1216.81	1326	1679.89	1241.27	1043.28	1054.69	1460.77	1136.17
ENSMUSG00000000409	na	227.709	423.207	305.22	207.58	333.734	362.652	179.287	405.221	515.403
ENSMUSG00000000416	na	87.9786	57.8073	48.8722	69.4725	44.0781	91.9771	74.1186	81.9548	60.9345
ENSMUSG00000000420	na	3996.53	6609.03	6225.95	4419.24	6610.32	5275.03	4393.1	5934.18	6868.49
ENSMUSG00000000439	na	886.255	726.518	743.226	865.476	923.279	600.041	823.318	754.288	709.633
ENSMUSG00000000440	na	175.957	190.55	187.189	283.749	184.971	175.194	249.399	213.993	215.81
ENSMUSG00000000441	na	4428.04	5426.79	6366.29	4851.38	4327.55	4819.62	5700.15	6082.06	5208.18
ENSMUSG00000000486	na	282.696	426.061	342.105	183.307	289.656	330.241	138.221	405.98	470.338
ENSMUSG00000000489	na	2206.58	965.597	1091.79	1444.69	5081.61	912.763	818.309	1397.03	2069.88
ENSMUSG00000000530	na	11923.6	6107.98	5748.5	3969.96	16111.3	2927.52	1716.74	4603.89	5637.15
ENSMUSG00000000531	na	1474.93	776.474	616.896	948.341	1004.35	440.614	547.877	608.59	670.914
ENSMUSG00000000532	na	4480.44	7492.83	7494.96	5742.78	5465.68	7759.36	10662.1	9024.14	8042.08
ENSMUSG00000000538	na	3876.43	2265.22	2193.75	2630.81	3488.41	2243.35	2022.26	2725.75	2584.67
ENSMUSG00000000552	na	186.307	290.464	283.09	91.2349	250.3	153.295	170.273	147.974	182.168
ENSMUSG00000000555	na	1960.13	3811.54	4768.5	1463.1	2261.37	2904.66	2579.1	2927.59	3766.28
ENSMUSG00000000561	na	1139.1	1676.83	1777.91	1831.82	1280.61	2078.17	2124	1586.09	1764.42
ENSMUSG00000000562	na	64.0432	349.699	426.28	174.937	71.462	274.179	189.878	272.423	272.936
ENSMUSG00000000563	na	4374.34	5695.4	6062.31	7506.46	3609.43	7017.33	7036.22	5465.02	5776.07
ENSMUSG00000000567	na	64.6901	134.884	279.401	168.241	66.9042	1129.13	737.18	501.594	706.459
ENSMUSG00000000568	na	3839.37	6026.16	5973.52	5584.51	3789.13	5275.09	6473.31	5775.49	5857.86
ENSMUSG00000000579	na	791.964	440.075	371.997	325.382	647.241	422.166	548.596	405.149	471.483
ENSMUSG00000000581	na	1031.81	1548.66	1515.03	1988.75	900.27	1505.8	1632.61	1651.99	1383.09
ENSMUSG00000000594	na	2963.45	2921.05	2496.17	2300.96	2613.2	1575	1860.98	2321.29	1879.45
ENSMUSG00000000600	na	2019.62	1845.56	1696.7	2033.94	1914.26	1743.19	1992.19	2369.86	1760.12
ENSMUSG00000000605	na	4048.99	2931.03	2894.52	3582.4	3630.16	3564.35	2764.42	2888.17	3072.74
ENSMUSG00000000627	na	1031.16	169.14	242.517	405.954	772.156	338.125	240.385	283.048	244.373
ENSMUSG00000000628	na	1779.63	4548.27	4991.4	5556.98	1879.61	6180.8	8735.12	5419.65	4413.36
ENSMUSG00000000631	na	4250.17	5540.98	6071.15	5644.83	6013.45	6404.97	8487.54	6576.91	6057.17
ENSMUSG00000000673	na	86.0379	122.751	110.654	49.384	70.8398	83.2174	30.0481	75.1252	60.2998
ENSMUSG00000000682	na	1335.85	2273.04	2571.78	846.225	1224.74	1243.88	616.987	1169.37	1630.63
