#1.2																
19067	15															
NAME	DESCRIPTION	S42	S46	S81	S82	S47	S48	S75	S77	S79	S43	S44	S80	S74	S76	S78
ENSMUSG00000000303	na	9217.56	19471.8	22651.8	11522.8	10183	23417.2	20089.5	20718.9	21910.6	7758	8279.38	13129.8	10583.7	9437.45	8299.42
ENSMUSG00000000305	na	70.0465	36.3452	65.1247	47.3112	36.1345	68.2716	42.6767	67.873	50.1957	96.5729	90.6318	91.5797	98.8501	79.254	108.818
ENSMUSG00000000308	na	1898.6	1627.33	1445.05	1207.28	2794.37	2258.5	1970.25	1933.4	1646.41	1597.83	1507.78	1274.69	1598.21	1843.53	2487.76
ENSMUSG00000000317	na	334.564	363.452	179.533	312.592	384.575	658.106	277.398	711.697	982.832	74.1368	69.0037	114.681	151.671	108.199	115.514
ENSMUSG00000000318	na	2.81471	2.34485	1.76013	51.5354	30.9725	1.58771	5.08056	3.22355	7.40164	5.8529	22.6579	43.7272	30.355	29.8357	17.5783
ENSMUSG00000000320	na	124.425	97.3114	81.846	89.5534	210.785	161.946	110.756	220.103	160.626	142.421	153.456	103.13	175.817	186.075	237.725
ENSMUSG00000000326	na	13043.8	11996.1	8694.12	7601.01	5688.67	6149.33	6499.39	6492.31	5162.09	6419.42	6353.33	4876.85	3686.82	3401.85	3679.73
ENSMUSG00000000339	na	1138.25	1127.88	1027.03	756.136	813.886	966.126	1287.42	1201.36	947.694	906.225	856.882	768.116	725.152	709.84	746.66
ENSMUSG00000000340	na	5684.82	5192.68	5205.59	5145.09	4571.02	4010.56	4706.63	4505.81	3984.53	6518.19	6087.78	4338.9	4470.88	4808.31	5252.54
ENSMUSG00000000346	na	14686.2	14906.1	17310.6	9659.75	10382.2	14656.1	16389.6	15243.6	15463.2	11674	10749.8	9940.97	9716.35	9489.87	10538.9
ENSMUSG00000000355	na	870.051	821.869	882.707	834.704	854.323	693.035	790.534	691.336	681.658	992.068	1042.26	792.039	752.316	840.095	820.319
ENSMUSG00000000359	na	23.9633	18.7588	12.3209	74.3462	202.181	28.5788	9.145	27.1492	44.1722	119.984	79.3028	120.456	193.173	199.858	127.233
ENSMUSG00000000374	na	2620.28	2670.78	2434.26	2701.82	1822.21	2268.85	1743.65	2622.81	2120.27	2728.44	2907.42	2794.41	2893.81	2361.77	2613.3
ENSMUSG00000000378	na	800.01	981.318	977.751	696.153	771.733	842.283	804.759	728.181	858.346	730.636	735.355	752.441	707.04	598.883	584.271
ENSMUSG00000000384	na	2007.39	2070.51	1858.71	1511.42	1195.02	1366.23	1530.27	1683.24	1621.33	1785.14	1784.82	1519.73	1294.87	1291.49	1497.49
ENSMUSG00000000385	na	17207.3	13313.9	15908.2	13931.2	10442	9844.77	12239.1	16266.6	12493.8	7055.7	7914.88	11031	11432.7	10496	8624.93
ENSMUSG00000000386	na	591.101	1958.32	557.079	467.572	687.414	2993.52	3331.02	2941.31	2967.3	15.6077	17.5084	27.2264	17.3554	38.5932	36.8307
ENSMUSG00000000392	na	35.9449	66.8283	23.7617	11.8278	98.0795	142.894	122.949	90.1742	138.54	9.75484	2.05981	8.25042	33.2016	20.675	11.7188
ENSMUSG00000000399	na	10148.5	8149.41	8616.33	7232.41	7674.95	7076.56	9233	8085.06	7264.15	9085.05	7970.06	6873.01	6644.47	6807.97	8596.42
ENSMUSG00000000402	na	704.152	514.695	143.45	226.418	624.611	806.557	337.349	1132.51	343.339	461.404	673.559	924.872	593.101	1202.59	1044.65
ENSMUSG00000000409	na	47.0049	30.4831	38.7228	76.0359	45.5983	64.3023	38.6122	45.5719	70.274	20.4852	13.3888	68.4785	64.1394	39.2824	31.8083
ENSMUSG00000000416	na	217.513	200.485	232.337	299.92	790.661	587.453	402.381	500.321	403.574	404.825	353.257	207.085	659.504	605.777	842.08
ENSMUSG00000000420	na	9472.29	11083.8	7983.39	7918.82	3533.36	4351.19	4178.13	5179.61	3722.58	10256.9	10158.9	8588.19	4334.32	3521.46	3946.1
ENSMUSG00000000439	na	894.938	759.732	750.695	971.57	931.754	773.215	862.678	851.322	821.202	849.646	888.809	874.545	930.398	849.741	818.644
ENSMUSG00000000440	na	177.881	69.1732	225.296	392.007	36.1345	39.6928	218.464	72.7211	414.617	56.5781	371.797	458.722	614.982	108.199	113.003
ENSMUSG00000000441	na	4286.58	5437.73	4695.1	3298.29	3265.91	4058.22	4024.81	3725.28	3672.3	3740.04	3945.59	3717.66	3277.14	3282.48	3120.54
ENSMUSG00000000486	na	119.816	57.4489	51.0437	87.0189	184.974	88.118	70.1117	79.5084	90.3523	142.421	149.336	127.056	144.88	140.59	197.546
ENSMUSG00000000489	na	576.962	1254.5	798.219	1284.16	1176.95	1815.54	1041.51	1944.08	1861.26	688.692	881.599	1367.92	1073.77	914.523	685.553
ENSMUSG00000000530	na	432.262	338.831	280.74	508.596	1071.13	643.815	311.947	428.569	590.301	385.316	520.103	629.506	750.057	735.34	631.144
ENSMUSG00000000531	na	421.201	296.624	209.455	497.613	731.294	354.06	283.495	334.517	409.597	124.862	220.4	220.286	227.129	370.082	287.112
ENSMUSG00000000532	na	3496.8	4074.18	3777.24	2477.08	2554.37	6331.79	4101.03	4605.67	4949.3	2015.35	2145.29	1856.34	2284.12	2392.78	2712.91
ENSMUSG00000000538	na	4669.18	4036.66	3783.45	6083.06	5279.08	4005.78	3210.91	4235.31	3414.33	6032.44	6154.67	5022.21	5245.87	5557.5	6279.57
ENSMUSG00000000552	na	194.471	85.5872	83.6061	130.951	160.885	46.0436	120.917	90.1742	94.3679	140.47	136.978	99.8302	172.799	102.686	154.856
ENSMUSG00000000555	na	373.274	834.765	498.117	484.941	554.063	1413.85	728.553	933.74	1277.98	159.98	240.997	296.19	401.436	311.501	278.742
ENSMUSG00000000561	na	984.413	1172.12	1024.38	1320.76	1414.87	1394	963.596	927.676	1287.07	1184.12	1362.57	1150.13	1193.08	1258.61	1108.06
ENSMUSG00000000562	na	16.59	37.5177	17.5875	0.844843	10.3242	38.1051	24.3867	41.6934	12.047	4.87742	4.11963	4.95025	12.8279	4.13499	3.34824
ENSMUSG00000000563	na	19133.1	18180.8	18938.6	13687.7	14718.6	15035	21307.4	15361.9	13190.9	18444.8	17091	13007.6	12494.3	12581.3	14661
ENSMUSG00000000567	na	1120.74	2324.92	1489.95	179.107	252.942	2584.79	3326.75	1386.55	913.562	45.8477	46.3458	60.2281	49.0478	88.2131	97.099
ENSMUSG00000000568	na	3524.42	3360.17	3906.61	2297.97	2909.7	3633.44	4733.07	4434.02	4162.23	2104.12	2153.54	2454.51	2628.21	2574.71	2780.72
ENSMUSG00000000579	na	256.433	183.264	221.915	243.867	385.847	218.779	256.959	234.805	272.534	257.865	238.811	283.151	258.385	398.519	364.124
ENSMUSG00000000581	na	2375.13	2391.68	2415.77	1704.05	1869.53	1697.26	2249.67	1761.79	1783.96	2679.66	2354.38	2159.14	1440.5	1589.86	1706.76
ENSMUSG00000000594	na	13877.5	12682.1	11527.1	10752.3	13432.6	12630.2	14270.3	15872.6	8960.94	15635.1	14378.5	10313.9	13199.9	12841.2	17029.2
ENSMUSG00000000600	na	1000.01	1320.15	1607	1461.58	1503.88	1663.92	1344.32	1674.52	1521.93	1580.28	1516.03	1756.51	1697.81	1713.27	1592.93
ENSMUSG00000000605	na	5301.42	5615.89	5110.5	4591.76	4997.73	5221.96	5257.34	5122.44	3898.2	5083.26	5273.12	4541.86	4592.37	4654.58	4940.33
ENSMUSG00000000627	na	6.45165	10.5518	23.7617	8.44843	6.88277	13.4955	11.1772	9.69615	32.1253	0.975484	2.05981	14.0257	8.30039	2.75666	3.34824
ENSMUSG00000000628	na	770.512	864.079	3468.33	1054.36	91.1967	1478.16	1800.55	860.048	4682.26	23.4116	403.723	554.428	925.871	108.199	85.3802
ENSMUSG00000000631	na	9111.42	11343.3	9958.81	10632.4	7063.44	10561.5	7519.53	11047.1	7943.16	9720.99	9919.87	9850.26	8744.93	8200.33	8622.34
ENSMUSG00000000673	na	6052.56	5714.51	5338.47	5296.29	3424.15	2706.26	4126.37	3939.48	2349.15	8645.02	7608.02	4983.21	3459.76	3592.61	4907.68
